time	I(R10)
1.642551627765897e-02	6.960822e-02
1.642774392795613e-02	6.936115e-02
1.642982247516588e-02	6.911803e-02
1.643224286129496e-02	6.881987e-02
1.643466324742405e-02	6.850869e-02
1.643567473882993e-02	6.837411e-02
1.643646341440859e-02	6.826651e-02
1.643725027146914e-02	6.815731e-02
1.643815715477951e-02	6.802923e-02
1.643931958816416e-02	6.786139e-02
1.644120293265290e-02	6.758156e-02
1.644351445667540e-02	6.722619e-02
1.644593484280449e-02	6.683961e-02
1.644835522893357e-02	6.643820e-02
1.645050565898784e-02	6.606861e-02
1.645272058281403e-02	6.567517e-02
1.645479595887365e-02	6.529462e-02
1.645721634500273e-02	6.483662e-02
1.645963673113182e-02	6.436633e-02
1.646066485893300e-02	6.416221e-02
1.646145112458049e-02	6.400360e-02
1.646224753082666e-02	6.384118e-02
1.646315613527630e-02	6.365380e-02
1.646431793026776e-02	6.341074e-02
1.646620026015804e-02	6.300954e-02
1.646857764799821e-02	6.249127e-02
1.647099803412730e-02	6.195009e-02
1.647341842025639e-02	6.139512e-02
1.647553749170869e-02	6.089747e-02
1.647776197099684e-02	6.036327e-02
1.647984718405683e-02	5.985154e-02
1.648226757018592e-02	5.924453e-02
1.648468795631501e-02	5.862632e-02
1.648568394267711e-02	5.836809e-02
1.648647486228433e-02	5.816077e-02
1.648725282482720e-02	5.795529e-02
1.648815810459726e-02	5.771431e-02
1.648932113273330e-02	5.740160e-02
1.649120542242229e-02	5.688835e-02
1.649348584368936e-02	5.625733e-02
1.649590622981845e-02	5.557554e-02
1.649832661594753e-02	5.488272e-02
1.649952103535507e-02	5.453610e-02
1.650076770093697e-02	5.417010e-02
1.650219947956248e-02	5.374640e-02
1.650271444918554e-02	5.359298e-02
1.650386025065025e-02	5.324909e-02
1.650492752956914e-02	5.292620e-02
1.650582521102555e-02	5.265274e-02
1.650663913356912e-02	5.240336e-02
1.650777527293358e-02	5.205290e-02
1.650896593306281e-02	5.168287e-02
1.651033092721608e-02	5.125533e-02
1.651145224429665e-02	5.090158e-02
1.651224778050336e-02	5.064894e-02
1.651315622815536e-02	5.035862e-02
1.651431808130618e-02	4.998504e-02
1.651544057292710e-02	4.962159e-02
1.651683514612592e-02	4.916652e-02
1.651831340773849e-02	4.868011e-02
1.651998394884305e-02	4.812530e-02
1.652186487177551e-02	4.749430e-02
1.652393333592470e-02	4.679319e-02
1.652577819132647e-02	4.616116e-02
1.652787697369460e-02	4.543439e-02
1.653000845063262e-02	4.468821e-02
1.653242883676171e-02	4.383127e-02
1.653484922289080e-02	4.296605e-02
1.653576624632893e-02	4.263568e-02
1.653657719061064e-02	4.234182e-02
1.653737870894663e-02	4.205026e-02
1.653820491541234e-02	4.174852e-02
1.653928558505697e-02	4.135217e-02
1.654036507630069e-02	4.095436e-02
1.654168335078028e-02	4.046594e-02
1.654314405567400e-02	3.992155e-02
1.654480673506801e-02	3.929773e-02
1.654673556828612e-02	3.856868e-02
1.654891560367416e-02	3.773841e-02
1.655074405769125e-02	3.703656e-02
1.655287570148447e-02	3.621192e-02
1.655499501949455e-02	3.538564e-02
1.655741540562364e-02	3.443434e-02
1.655983579175272e-02	3.347655e-02
1.656075624280185e-02	3.311029e-02
1.656156475719263e-02	3.278726e-02
1.656235662077608e-02	3.247002e-02
1.656319670372523e-02	3.213249e-02
1.656438389656756e-02	3.165399e-02
1.656561142121006e-02	3.115738e-02
1.656721713664485e-02	3.050487e-02
1.656910066353841e-02	2.973554e-02
1.657137503901362e-02	2.880115e-02
1.657379542514270e-02	2.780095e-02
1.657570115375850e-02	2.700884e-02
1.657787219485924e-02	2.610146e-02
1.657999406195304e-02	2.520995e-02
1.658241444808213e-02	2.418752e-02
1.658483483421122e-02	2.316051e-02
1.658575552973285e-02	2.276843e-02
1.658656387087506e-02	2.242329e-02
1.658735504618849e-02	2.208488e-02
1.658819611831784e-02	2.172447e-02
1.658938294474548e-02	2.121480e-02
1.659089689476447e-02	2.056293e-02
1.659284800166171e-02	1.972005e-02
1.659526838779080e-02	1.867055e-02
1.659768877391989e-02	1.761692e-02
1.660010916004897e-02	1.655938e-02
1.660202523333335e-02	1.571942e-02
1.660390867750495e-02	1.489120e-02
1.660632906363404e-02	1.382377e-02
1.660874944976312e-02	1.275352e-02
1.661033133003335e-02	1.205252e-02
1.661112710777925e-02	1.169930e-02
1.661201448067587e-02	1.130495e-02
1.661306935223551e-02	1.083571e-02
1.661417678166885e-02	1.034252e-02
1.661566917751809e-02	9.676928e-03
1.661808956364718e-02	8.595681e-03
1.662050994977627e-02	7.512486e-03
1.662293033590535e-02	6.427312e-03
1.662535072203444e-02	5.340383e-03
1.662759323587351e-02	4.331923e-03
1.662962407710989e-02	3.417498e-03
1.663204446323898e-02	2.326471e-03
1.663406462393292e-02	1.415079e-03
1.663517941148849e-02	9.117721e-04
