time	V(out)
2.429664892432566e-01	5.062460e-01
2.429727130933028e-01	5.059221e-01
2.429789369433490e-01	5.055979e-01
2.429851607933952e-01	5.052734e-01
2.429913846434414e-01	5.049485e-01
2.429976084934876e-01	5.046234e-01
2.430038323435338e-01	5.042980e-01
2.430100561935800e-01	5.039722e-01
2.430183546603083e-01	5.035374e-01
2.430266531270365e-01	5.031020e-01
2.430349515937648e-01	5.026661e-01
2.430432500604931e-01	5.022297e-01
2.430515485272213e-01	5.017927e-01
2.430598469939496e-01	5.013551e-01
2.430681454606778e-01	5.009171e-01
2.430754066190651e-01	5.005333e-01
2.430826677774523e-01	5.001491e-01
2.430899289358395e-01	4.997645e-01
2.430971900942268e-01	4.993794e-01
2.431044512526140e-01	4.989940e-01
2.431117124110012e-01	4.986081e-01
2.431189735693884e-01	4.982219e-01
2.431334958861629e-01	4.974481e-01
2.431351104403749e-01	4.973620e-01
2.431360754337463e-01	4.973105e-01
2.431370606172764e-01	4.972579e-01
2.431379904089638e-01	4.972083e-01
2.431389202006512e-01	4.971587e-01
2.431398499923386e-01	4.971090e-01
2.431407797840260e-01	4.970594e-01
2.431417095757135e-01	4.970097e-01
2.431426393674009e-01	4.969601e-01
2.431435691590883e-01	4.969104e-01
2.431482604302732e-01	4.966597e-01
2.431555215886604e-01	4.962713e-01
2.431607081303656e-01	4.959937e-01
2.431658946720707e-01	4.957158e-01
2.431710812137759e-01	4.954378e-01
2.431762677554811e-01	4.951595e-01
2.431814542971862e-01	4.948810e-01
2.431866408388914e-01	4.946023e-01
2.431918273805966e-01	4.943234e-01
2.431983970000898e-01	4.939698e-01
2.432049666195830e-01	4.936159e-01
2.432115362390762e-01	4.932616e-01
2.432181058585694e-01	4.929070e-01
2.432246754780626e-01	4.925521e-01
2.432312450975558e-01	4.921968e-01
2.432378147170490e-01	4.918412e-01
2.432412724115191e-01	4.916539e-01
2.432447301059892e-01	4.914665e-01
2.432481878004593e-01	4.912790e-01
2.432516454949294e-01	4.910914e-01
2.432551031893996e-01	4.909038e-01
2.432585608838697e-01	4.907160e-01
2.432620185783398e-01	4.905282e-01
2.432706628145150e-01	4.900581e-01
2.432793070506903e-01	4.895875e-01
2.432879512868656e-01	4.891163e-01
2.432965955230408e-01	4.886446e-01
2.433052397592161e-01	4.881722e-01
2.433138839953914e-01	4.876993e-01
2.433225282315667e-01	4.872258e-01
2.433318640066360e-01	4.867138e-01
2.433411997817053e-01	4.862011e-01
2.433505355567745e-01	4.856877e-01
2.433598713318438e-01	4.851737e-01
2.433692071069131e-01	4.846590e-01
2.433785428819824e-01	4.841436e-01
2.433878786570517e-01	4.836276e-01
2.433985975099091e-01	4.830343e-01
2.434093163627664e-01	4.824401e-01
2.434200352156237e-01	4.818451e-01
2.434307540684811e-01	4.812491e-01
2.434414729213384e-01	4.806523e-01
2.434521917741957e-01	4.800547e-01
2.434629106270531e-01	4.794561e-01
2.434691344770993e-01	4.791082e-01
2.434753583271455e-01	4.787599e-01
2.434815821771917e-01	4.784114e-01
2.434878060272379e-01	4.780626e-01
2.434940298772841e-01	4.777135e-01
2.435002537273303e-01	4.773641e-01
2.435064775773765e-01	4.770144e-01
2.435147760441047e-01	4.765477e-01
2.435230745108330e-01	4.760804e-01
2.435313729775612e-01	4.756127e-01
2.435396714442895e-01	4.751444e-01
2.435479699110178e-01	4.746756e-01
2.435562683777460e-01	4.742063e-01
2.435645668444743e-01	4.737365e-01
2.435711364639675e-01	4.733642e-01
2.435777060834607e-01	4.729916e-01
2.435842757029539e-01	4.726186e-01
2.435908453224471e-01	4.722454e-01
2.435974149419403e-01	4.718718e-01
2.436039845614335e-01	4.714979e-01
2.436105541809267e-01	4.711236e-01
2.436178153393140e-01	4.707096e-01
2.436250764977012e-01	4.702952e-01
2.436299172699593e-01	4.700187e-01
2.436337199741788e-01	4.698014e-01
2.436343239554918e-01	4.697669e-01
2.436349279368048e-01	4.697324e-01
2.436355319181178e-01	4.696978e-01
2.436361358994308e-01	4.696633e-01
