time	I(R16)
3.968116371785191e-02	6.794732e-02
3.968877064568617e-02	6.937751e-02
3.969637757352043e-02	7.064305e-02
3.970398450135469e-02	7.174395e-02
3.971159142918895e-02	7.268021e-02
3.971919835702321e-02	7.345183e-02
3.972680528485747e-02	7.405881e-02
3.973441221269174e-02	7.450114e-02
3.973856144605588e-02	7.466807e-02
3.974271067942002e-02	7.478415e-02
3.974685991278416e-02	7.484935e-02
3.975100914614831e-02	7.486370e-02
3.975515837951245e-02	7.482718e-02
3.975930761287659e-02	7.473980e-02
3.976345684624073e-02	7.460155e-02
3.977210108241603e-02	7.414341e-02
3.978074531859133e-02	7.347330e-02
3.978938955476662e-02	7.259122e-02
3.979803379094192e-02	7.149718e-02
3.980667802711722e-02	7.019117e-02
3.981532226329251e-02	6.867320e-02
3.982396649946781e-02	6.694327e-02
3.983364804398414e-02	6.475598e-02
3.984332958850047e-02	6.235361e-02
3.985301113301681e-02	5.973617e-02
3.986269267753314e-02	5.690365e-02
3.987237422204947e-02	5.385606e-02
3.988205576656580e-02	5.059340e-02
3.989173731108214e-02	4.711565e-02
3.990072731670444e-02	4.372590e-02
3.990971732232675e-02	4.022532e-02
3.991870732794906e-02	3.661391e-02
3.992769733357137e-02	3.289168e-02
3.993668733919368e-02	2.905862e-02
3.994567734481599e-02	2.511473e-02
3.995466735043830e-02	2.106001e-02
3.995916235324945e-02	1.901744e-02
3.996365735606060e-02	1.696332e-02
3.996815235887176e-02	1.489765e-02
3.997264736168291e-02	1.282045e-02
3.997714236449407e-02	1.073169e-02
3.998163736730522e-02	8.631391e-03
3.998613237011638e-02	6.519547e-03
3.999097314237454e-02	4.242151e-03
3.999581391463271e-02	1.958765e-03
3.999797264203724e-02	9.388492e-04
3.999838940221973e-02	7.418072e-04
3.999880616240220e-02	5.447117e-04
3.999922292258468e-02	3.475626e-04
3.999963968276717e-02	1.503599e-04
4.000005644294965e-02	-4.689643e-05
4.000047320313212e-02	-2.442063e-04
4.000088996331461e-02	-4.415697e-04
4.000221837880268e-02	-1.071919e-03
4.000308254514876e-02	-1.481545e-03
4.000895750132558e-02	-4.266491e-03
