TIME	Vs	Va
-2.09E-03	2.00E-01	1.2
-2.09E-03	2.00E-01	1.2
-2.08E-03	2.00E-01	1.2
-2.08E-03	2.00E-01	1.2
-2.08E-03	2.00E-01	1.2
-2.07E-03	2.00E-01	1.4
-2.07E-03	2.00E-01	1.6
-2.06E-03	2.00E-01	1.6
-2.06E-03	2.00E-01	1.6
-2.06E-03	2.00E-01	1.6
-2.05E-03	2.00E-01	1.6
-2.05E-03	2.00E-01	1.8000001
-2.04E-03	2.00E-01	1.8000001
-2.04E-03	2.00E-01	1.8000001
-2.04E-03	2.00E-01	2
-2.03E-03	2.00E-01	2
-2.03E-03	2.00E-01	2
-2.02E-03	2.00E-01	2.2
-2.02E-03	2.00E-01	2
-2.02E-03	2.00E-01	2.2
-2.01E-03	2.00E-01	2.2
-2.01E-03	2.00E-01	2.2
-2.00E-03	2.00E-01	2.2
-2.00E-03	2.00E-01	2.4000001
-2.00E-03	2.00E-01	2.4000001
-1.99E-03	2.00E-01	2.4000001
-1.99E-03	2.00E-01	2.4000001
-1.98E-03	2.00E-01	2.4000001
-1.98E-03	2.00E-01	2.6000001
-1.98E-03	2.00E-01	2.6000001
-1.97E-03	2.00E-01	2.6000001
-1.97E-03	2.00E-01	2.79999995
-1.96E-03	2.00E-01	2.79999995
-1.96E-03	2.00E-01	2.79999995
-1.96E-03	2.00E-01	2.79999995
-1.95E-03	2.00E-01	3
-1.95E-03	2.00E-01	3
-1.94E-03	2.00E-01	3
-1.94E-03	2.00E-01	3
-1.94E-03	2.00E-01	3.20000005
-1.93E-03	2.00E-01	3.20000005
-1.93E-03	2.00E-01	3.20000005
-1.92E-03	2.00E-01	3.20000005
-1.92E-03	2.00E-01	3.4000001
-1.92E-03	2.00E-01	3.4000001
-1.91E-03	2.00E-01	3.4000001
-1.91E-03	2.00E-01	3.4000001
-1.90E-03	2.00E-01	3.4000001
-1.90E-03	2.00E-01	3.60000014
-1.90E-03	2.00E-01	3.60000014
-1.89E-03	2.00E-01	3.60000014
-1.89E-03	2.00E-01	3.60000014
-1.88E-03	2.00E-01	3.79999995
-1.88E-03	2.00E-01	3.79999995
-1.88E-03	2.00E-01	3.79999995
-1.87E-03	2.00E-01	3.79999995
-1.87E-03	2.00E-01	4
-1.86E-03	2.00E-01	3.79999995
-1.86E-03	2.00E-01	4
-1.86E-03	2.00E-01	4
-1.85E-03	2.00E-01	4
-1.85E-03	2.00E-01	4
-1.84E-03	2.00E-01	4
-1.84E-03	2.00E-01	4.20000029
-1.84E-03	2.00E-01	4.20000029
-1.83E-03	2.00E-01	4.20000029
-1.83E-03	2.00E-01	4.4000001
-1.82E-03	0	4.4000001
-1.82E-03	2.00E-01	4.4000001
-1.82E-03	2.00E-01	4.4000001
-1.81E-03	2.00E-01	4.5999999
-1.81E-03	2.00E-01	4.5999999
-1.80E-03	2.00E-01	4.5999999
-1.80E-03	2.00E-01	4.5999999
-1.80E-03	0	4.5999999
-1.79E-03	2.00E-01	4.80000019
-1.79E-03	2.00E-01	4.80000019
-1.78E-03	2.00E-01	4.80000019
-1.78E-03	2.00E-01	4.80000019
-1.78E-03	2.00E-01	4.80000019
-1.77E-03	2.00E-01	5
-1.77E-03	2.00E-01	5
-1.76E-03	2.00E-01	5
-1.76E-03	2.00E-01	5
-1.76E-03	2.00E-01	5.20000029
-1.75E-03	2.00E-01	5.20000029
-1.75E-03	2.00E-01	5.20000029
-1.74E-03	2.00E-01	5.20000029
-1.74E-03	0	5.20000029
-1.74E-03	2.00E-01	5.4000001
-1.73E-03	2.00E-01	5.4000001
-1.73E-03	2.00E-01	5.4000001
-1.72E-03	2.00E-01	5.4000001
-1.72E-03	2.00E-01	5.4000001
-1.72E-03	2.00E-01	5.4000001
-1.71E-03	2.00E-01	5.4000001
-1.71E-03	2.00E-01	5.5999999
-1.70E-03	2.00E-01	5.5999999
-1.70E-03	0	5.5999999
-1.70E-03	0	5.5999999
-1.69E-03	2.00E-01	5.5999999
-1.69E-03	2.00E-01	5.5999999
-1.68E-03	2.00E-01	5.80000019
-1.68E-03	2.00E-01	5.80000019
-1.68E-03	0	5.80000019
-1.67E-03	2.00E-01	5.80000019
-1.67E-03	2.00E-01	5.80000019
-1.66E-03	2.00E-01	6
-1.66E-03	2.00E-01	6
-1.66E-03	2.00E-01	6
-1.65E-03	2.00E-01	6
-1.65E-03	0	6
-1.64E-03	2.00E-01	6.20000029
-1.64E-03	2.00E-01	6.20000029
-1.64E-03	2.00E-01	6.20000029
-1.63E-03	2.00E-01	6.20000029
-1.63E-03	2.00E-01	6.20000029
-1.62E-03	2.00E-01	6.4000001
-1.62E-03	2.00E-01	6.4000001
-1.62E-03	2.00E-01	6.4000001
-1.61E-03	2.00E-01	6.4000001
-1.61E-03	2.00E-01	6.4000001
-1.60E-03	2.00E-01	6.5999999
-1.60E-03	2.00E-01	6.4000001
-1.60E-03	2.00E-01	6.4000001
-1.59E-03	2.00E-01	6.4000001
-1.59E-03	2.00E-01	6.5999999
-1.58E-03	0	6.5999999
-1.58E-03	2.00E-01	6.5999999
-1.58E-03	14.6000004	6.5999999
-1.57E-03	14.4000006	20.80000114
-1.57E-03	14.4000006	20.60000038
-1.56E-03	14.6000004	20.60000038
-1.56E-03	14.6000004	20.39999962
-1.56E-03	14.6000004	20.39999962
-1.55E-03	14.4000006	20.39999962
-1.55E-03	14.6000004	20.20000076
-1.54E-03	14.4000006	20.20000076
-1.54E-03	14.6000004	20
-1.54E-03	14.6000004	20
-1.53E-03	14.4000006	19.8000011
-1.53E-03	14.6000004	19.8000011
-1.52E-03	14.6000004	19.8000011
-1.52E-03	14.4000006	19.6000004
-1.52E-03	14.4000006	19.6000004
-1.51E-03	14.4000006	19.6000004
-1.51E-03	14.6000004	19.3999996
-1.50E-03	14.6000004	19.3999996
-1.50E-03	14.6000004	19.2000008
-1.50E-03	14.6000004	19.2000008
-1.49E-03	14.6000004	19
-1.49E-03	14.6000004	19
-1.48E-03	14.4000006	18.8000011
-1.48E-03	14.4000006	19
-1.48E-03	14.4000006	18.8000011
-1.47E-03	14.4000006	18.8000011
-1.47E-03	14.4000006	18.6000004
-1.46E-03	14.6000004	18.6000004
-1.46E-03	14.4000006	18.3999996
-1.46E-03	14.6000004	18.3999996
-1.45E-03	14.4000006	18.3999996
-1.45E-03	14.6000004	18.2000008
-1.44E-03	14.6000004	18.2000008
-1.44E-03	14.6000004	18.2000008
-1.44E-03	14.6000004	18
-1.43E-03	14.6000004	18
-1.43E-03	14.6000004	17.8000011
-1.42E-03	14.4000006	17.8000011
-1.42E-03	14.6000004	17.8000011
-1.42E-03	14.4000006	17.6000004
-1.41E-03	14.6000004	17.6000004
-1.41E-03	14.6000004	17.3999996
-1.40E-03	14.6000004	17.3999996
-1.40E-03	14.6000004	17.2000008
-1.40E-03	14.6000004	17.2000008
-1.39E-03	14.6000004	17.2000008
-1.39E-03	14.6000004	17.2000008
-1.38E-03	14.6000004	17
-1.38E-03	14.6000004	17
-1.38E-03	14.6000004	17
