TIME	Vs	Vc
1.86E-04	14.1999998	2.00E-01
1.87E-04	14.4000006	2.00E-01
1.88E-04	14.4000006	2.00E-01
1.89E-04	14.1999998	2.00E-01
1.90E-04	14.1999998	2.00E-01
1.91E-04	14.4000006	2.00E-01
1.92E-04	14.1999998	2.00E-01
1.93E-04	14.4000006	2.00E-01
1.94E-04	14.4000006	4.00E-01
1.95E-04	14.1999998	4.00E-01
1.96E-04	14.1999998	4.00E-01
1.97E-04	14.1999998	4.00E-01
1.98E-04	14.4000006	6.00E-01
1.99E-04	14.4000006	4.00E-01
2.00E-04	14.4000006	4.00E-01
2.01E-04	14.4000006	4.00E-01
2.02E-04	14.1999998	6.00E-01
2.03E-04	14.4000006	6.00E-01
2.04E-04	14.1999998	6.00E-01
2.05E-04	14.1999998	6.00E-01
2.06E-04	14.1999998	6.00E-01
2.07E-04	14.4000006	6.00E-01
2.08E-04	14.4000006	6.00E-01
2.09E-04	14.1999998	8.00E-01
2.10E-04	14.1999998	8.00E-01
2.11E-04	14.4000006	8.00E-01
2.12E-04	14.1999998	1
2.13E-04	14.4000006	8.00E-01
2.14E-04	14.4000006	1
2.15E-04	14.1999998	1
2.16E-04	14.1999998	1
2.17E-04	14.1999998	1
2.18E-04	14.1999998	1
2.19E-04	14.4000006	1.2
2.20E-04	14.4000006	1
2.21E-04	14.1999998	1.2
2.22E-04	14.1999998	1.2
2.23E-04	14.1999998	1.2
2.24E-04	14.1999998	1.2
2.25E-04	14.1999998	1.2
2.26E-04	14.1999998	1.2
2.27E-04	14.1999998	1.2
2.28E-04	14.1999998	1.2
2.29E-04	14.1999998	1.2
2.30E-04	14.1999998	1.2
2.31E-04	14.1999998	1.4
2.32E-04	14.1999998	1.4
2.33E-04	14.1999998	1.4
2.34E-04	14.1999998	1.4
2.35E-04	14.1999998	1.4
2.36E-04	14.1999998	1.4
2.37E-04	14.4000006	1.4
2.38E-04	14.4000006	1.6
2.39E-04	14.4000006	1.6
2.40E-04	14.1999998	1.6
2.41E-04	14.1999998	1.6
2.42E-04	14.1999998	1.6
2.43E-04	14.1999998	1.6
2.44E-04	14.4000006	1.6
2.45E-04	14.1999998	1.6
2.46E-04	14.4000006	1.8000001
2.47E-04	14.1999998	1.8000001
2.48E-04	14.1999998	1.8000001
2.49E-04	14.1999998	1.8000001
2.50E-04	14.4000006	1.8000001
2.51E-04	14.4000006	1.8000001
2.52E-04	14.4000006	2
2.53E-04	14.1999998	2
2.54E-04	14.1999998	1.8000001
2.55E-04	14.1999998	2
2.56E-04	14.1999998	2
2.57E-04	14.4000006	2
2.58E-04	14.1999998	2
2.59E-04	14.4000006	2.2
2.60E-04	14.4000006	2.2
2.61E-04	14.4000006	2.2
2.62E-04	14.1999998	2.2
2.63E-04	14.1999998	2.2
2.64E-04	14.1999998	2.2
2.65E-04	14.1999998	2.2
2.66E-04	14.1999998	2.2
2.67E-04	14.1999998	2.2
2.68E-04	14.1999998	2.2
2.69E-04	14.1999998	2.4000001
2.70E-04	14.1999998	2.4000001
2.71E-04	14.1999998	2.4000001
2.72E-04	14.1999998	2.4000001
2.73E-04	14.4000006	2.4000001
2.74E-04	14.4000006	2.4000001
2.75E-04	14.1999998	2.6000001
2.76E-04	14.1999998	2.6000001
2.77E-04	14.1999998	2.6000001
2.78E-04	14.1999998	2.6000001
2.79E-04	14.1999998	2.6000001
2.80E-04	14.1999998	2.6000001
2.81E-04	14.4000006	2.6000001
2.82E-04	14.1999998	2.6000001
2.83E-04	14.1999998	2.6000001
2.84E-04	14.1999998	2.6000001
2.85E-04	14.1999998	2.79999995
2.86E-04	14.1999998	2.6000001
2.87E-04	14.1999998	2.79999995
2.88E-04	14.4000006	2.79999995
2.89E-04	14.4000006	2.79999995
2.90E-04	14.4000006	2.79999995
2.91E-04	14.4000006	2.79999995
2.92E-04	14.1999998	2.79999995
2.93E-04	14.4000006	3
2.94E-04	14.4000006	3
2.95E-04	14.1999998	3
2.96E-04	14.1999998	3
2.97E-04	14.1999998	3
2.98E-04	14.4000006	3
2.99E-04	14.1999998	3
3.00E-04	14.1999998	3
3.01E-04	14.1999998	3.20000005
3.02E-04	14.1999998	3.20000005
3.03E-04	14.1999998	3.20000005
3.04E-04	14.1999998	3.20000005
3.05E-04	14.1999998	3.20000005
3.06E-04	14.1999998	3.20000005
3.07E-04	14.1999998	3.20000005
3.08E-04	14.1999998	3.20000005
3.09E-04	14.4000006	3.20000005
3.10E-04	14.1999998	3.20000005
3.11E-04	14.1999998	3.20000005
3.12E-04	14.1999998	3.4000001
3.13E-04	14.1999998	3.20000005
3.14E-04	14.1999998	3.4000001
3.15E-04	14.1999998	3.4000001
3.16E-04	14.4000006	3.4000001
3.17E-04	14.1999998	3.4000001
3.18E-04	14.4000006	3.60000014
3.19E-04	14.1999998	3.4000001
3.20E-04	14.1999998	3.60000014
3.21E-04	14.1999998	3.60000014
3.22E-04	14.1999998	3.60000014
3.23E-04	14.1999998	3.60000014
3.24E-04	14.1999998	3.60000014
3.25E-04	14.1999998	3.60000014
3.26E-04	14.1999998	3.60000014
3.27E-04	14.1999998	3.60000014
3.28E-04	14.1999998	3.79999995
3.29E-04	14.1999998	3.60000014
3.30E-04	14.1999998	3.79999995
3.31E-04	14.1999998	3.79999995
3.32E-04	14.1999998	3.79999995
3.33E-04	14.1999998	3.79999995
3.34E-04	14.1999998	3.79999995
3.35E-04	14.1999998	3.79999995
3.36E-04	14.4000006	3.79999995
3.37E-04	14.1999998	3.79999995
3.38E-04	14.1999998	3.79999995
3.39E-04	14.1999998	4
3.40E-04	14.1999998	4
3.41E-04	14.4000006	4
3.42E-04	14.1999998	4
3.43E-04	14.1999998	4
3.44E-04	14.1999998	4.20000029
3.45E-04	14.1999998	4.20000029
3.46E-04	14.1999998	4
3.47E-04	14.1999998	4
3.48E-04	14.1999998	4
3.49E-04	14.1999998	4
3.50E-04	14.4000006	4.20000029
3.51E-04	14.1999998	4.20000029
3.52E-04	14.1999998	4.20000029
3.53E-04	14.1999998	4.20000029
3.54E-04	14.1999998	4.20000029
3.55E-04	14.1999998	4.20000029
3.56E-04	14.1999998	4.4000001
3.57E-04	14.1999998	4.4000001
3.58E-04	14.1999998	4.4000001
3.59E-04	14.4000006	4.4000001
3.60E-04	14.1999998	4.4000001
3.61E-04	14.1999998	4.4000001
3.62E-04	14.1999998	4.4000001
3.63E-04	14.1999998	4.4000001
3.64E-04	14.1999998	4.4000001
3.65E-04	14.1999998	4.5999999
3.66E-04	14.1999998	4.5999999
3.67E-04	14.1999998	4.4000001
3.68E-04	14.1999998	4.5999999
3.69E-04	14.1999998	4.5999999
3.70E-04	14.1999998	4.5999999
3.71E-04	14.1999998	4.5999999
3.72E-04	14.4000006	4.5999999
3.73E-04	14.1999998	4.80000019
3.74E-04	14.4000006	4.5999999
3.75E-04	14.1999998	4.80000019
3.76E-04	14.1999998	4.5999999
3.77E-04	14.1999998	4.80000019
3.78E-04	14.1999998	4.80000019
3.79E-04	14.4000006	4.5999999
3.80E-04	14.1999998	4.80000019
3.81E-04	14.4000006	4.80000019
3.82E-04	14.4000006	4.80000019
3.83E-04	14.1999998	4.80000019
3.84E-04	14.1999998	4.80000019
3.85E-04	14.1999998	4.80000019
3.86E-04	14.1999998	4.80000019
3.87E-04	14.4000006	4.80000019
3.88E-04	14.4000006	5
3.89E-04	14.4000006	5
3.90E-04	14.1999998	5
3.91E-04	14.1999998	5
3.92E-04	14.1999998	5
3.93E-04	14.1999998	5
3.94E-04	14.1999998	5
3.95E-04	14.4000006	5
3.96E-04	14.1999998	5
3.97E-04	14.1999998	5
3.98E-04	14.1999998	5
3.99E-04	14.1999998	5
4.00E-04	14.1999998	5
4.01E-04	14.1999998	5
4.02E-04	14.4000006	5.20000029
4.03E-04	14.1999998	5.20000029
4.04E-04	14.1999998	5.20000029
4.05E-04	14.4000006	5.20000029
4.06E-04	14.4000006	5.20000029
4.07E-04	14.1999998	5.20000029
4.08E-04	14.1999998	5.20000029
4.09E-04	14.4000006	5.4000001
4.10E-04	14.1999998	5.4000001
4.11E-04	14.1999998	5.4000001
4.12E-04	14.1999998	5.4000001
4.13E-04	14.4000006	5.4000001
4.14E-04	14.1999998	5.4000001
4.15E-04	14.1999998	5.5999999
4.16E-04	14.4000006	5.4000001
4.17E-04	14.1999998	5.4000001
4.18E-04	14.1999998	5.5999999
4.19E-04	14.4000006	5.5999999
4.20E-04	14.1999998	5.4000001
4.21E-04	14.1999998	5.5999999
4.22E-04	14.1999998	5.5999999
4.23E-04	14.1999998	5.5999999
4.24E-04	14.1999998	5.5999999
4.25E-04	14.4000006	5.5999999
4.26E-04	14.1999998	5.5999999
4.27E-04	14.1999998	5.5999999
4.28E-04	14.1999998	5.5999999
4.29E-04	14.1999998	5.5999999
4.30E-04	14.1999998	5.5999999
4.31E-04	14.4000006	5.5999999
4.32E-04	14.1999998	5.5999999
4.33E-04	14.4000006	5.80000019
4.34E-04	14.4000006	5.80000019
4.35E-04	14.1999998	5.80000019
4.36E-04	14.1999998	5.80000019
4.37E-04	14.4000006	5.80000019
4.38E-04	14.4000006	5.80000019
4.39E-04	14.4000006	5.80000019
4.40E-04	14.1999998	5.80000019
4.41E-04	14.1999998	5.80000019
4.42E-04	14.1999998	5.80000019
4.43E-04	14.1999998	6
4.44E-04	14.4000006	6
4.45E-04	14.1999998	6
4.46E-04	14.1999998	6
4.47E-04	14.1999998	6
4.48E-04	14.1999998	6
4.49E-04	14.4000006	6
4.50E-04	14.4000006	6
4.51E-04	14.1999998	6
4.52E-04	14.4000006	6
4.53E-04	14.1999998	6.20000029
4.54E-04	14.1999998	6
4.55E-04	14.1999998	6
4.56E-04	14.4000006	6
4.57E-04	14.4000006	6.20000029
4.58E-04	14.1999998	6.20000029
4.59E-04	14.1999998	6.20000029
4.60E-04	14.4000006	6.20000029
4.61E-04	14.1999998	6.20000029
4.62E-04	14.1999998	6.20000029
4.63E-04	14.4000006	6.20000029
4.64E-04	14.1999998	6.20000029
4.65E-04	14.1999998	6.20000029
4.66E-04	14.4000006	6.20000029
4.67E-04	14.4000006	6.20000029
4.68E-04	14.4000006	6.4000001
4.69E-04	14.1999998	6.4000001
4.70E-04	14.4000006	6.4000001
4.71E-04	14.1999998	6.4000001
4.72E-04	14.1999998	6.4000001
4.73E-04	14.4000006	6.4000001
4.74E-04	14.1999998	6.4000001
4.75E-04	14.4000006	6.4000001
4.76E-04	14.1999998	6.4000001
4.77E-04	14.1999998	6.4000001
4.78E-04	14.4000006	6.5999999
4.79E-04	14.1999998	6.4000001
4.80E-04	14.4000006	6.5999999
4.81E-04	14.4000006	6.5999999
4.82E-04	14.1999998	6.5999999
4.83E-04	14.4000006	6.5999999
4.84E-04	14.1999998	6.5999999
4.85E-04	14.1999998	6.5999999
4.86E-04	14.4000006	6.5999999
4.87E-04	14.4000006	6.5999999
4.88E-04	14.4000006	6.5999999
4.89E-04	14.4000006	6.5999999
4.90E-04	14.4000006	6.5999999
4.91E-04	14.1999998	6.5999999
4.92E-04	14.1999998	6.5999999
