TIME	Va
-1.63E-03	14.6000004
-1.62E-03	14.6000004
-1.62E-03	14.6000004
-1.62E-03	14.8000002
-1.61E-03	14.8000002
-1.61E-03	14.8000002
-1.60E-03	14.6000004
-1.60E-03	14.6000004
-1.60E-03	14.6000004
-1.59E-03	14.8000002
-1.59E-03	14.6000004
-1.58E-03	14.1999998
-1.58E-03	13.4000006
-1.58E-03	13.4000006
-1.57E-03	10.8000002
-1.57E-03	12.4000006
-1.56E-03	11.1999998
-1.56E-03	12.1999998
-1.56E-03	8.400000572
-1.55E-03	7.599999905
-1.55E-03	2.00E-01
-1.54E-03	4.00E-01
-1.54E-03	2.00E-01
-1.54E-03	4.00E-01
-1.53E-03	2.00E-01
-1.53E-03	2.00E-01
-1.52E-03	2.00E-01
-1.52E-03	2.00E-01
-1.52E-03	2.00E-01
-1.51E-03	2.00E-01
-1.51E-03	2.00E-01
-1.50E-03	2.00E-01
-1.50E-03	4.00E-01
-1.50E-03	2.00E-01
-1.49E-03	2.00E-01
-1.49E-03	2.00E-01
-1.48E-03	2.00E-01
-1.48E-03	2.00E-01
-1.48E-03	2.00E-01
-1.47E-03	2.00E-01
-1.47E-03	4.00E-01
-1.46E-03	2.00E-01
-1.46E-03	2.00E-01
-1.46E-03	2.00E-01
-1.45E-03	2.00E-01
-1.45E-03	2.00E-01
-1.44E-03	2.00E-01
-1.44E-03	2.00E-01
-1.44E-03	2.00E-01
-1.43E-03	2.00E-01
-1.43E-03	2.00E-01
-1.42E-03	2.00E-01
-1.42E-03	2.00E-01
-1.42E-03	2.00E-01
-1.41E-03	2.00E-01
-1.41E-03	2.00E-01
-1.40E-03	2.00E-01
-1.40E-03	2.00E-01
-1.40E-03	2.00E-01
-1.39E-03	2.00E-01
-1.39E-03	2.00E-01
-1.38E-03	2.00E-01
-1.38E-03	2.00E-01
-1.38E-03	2.00E-01
-1.37E-03	2.00E-01
-1.37E-03	2.00E-01
-1.36E-03	2.00E-01
-1.36E-03	2.00E-01
-1.36E-03	2.00E-01
-1.35E-03	2.00E-01
-1.35E-03	2.00E-01
-1.34E-03	2.00E-01
-1.34E-03	2.00E-01
-1.34E-03	2.00E-01
-1.33E-03	2.00E-01
-1.33E-03	2.00E-01
-1.32E-03	2.00E-01
-1.32E-03	2.00E-01
-1.32E-03	2.00E-01
-1.31E-03	2.00E-01
-1.31E-03	2.00E-01
-1.30E-03	2.00E-01
-1.30E-03	2.00E-01
-1.30E-03	2.00E-01
-1.29E-03	2.00E-01
-1.29E-03	2.00E-01
