TIME	Vs	Va
7.57E-04	14	8.800000191
7.58E-04	14.4000006	8.800000191
7.58E-04	14.4000006	8.800000191
7.58E-04	14.1999998	8.800000191
7.58E-04	14.1999998	8.800000191
7.58E-04	14.4000006	8.800000191
7.59E-04	14.4000006	8.800000191
7.59E-04	14.1999998	9
7.59E-04	14.1999998	9.199999809
7.59E-04	14.4000006	9
7.59E-04	14.4000006	8.800000191
7.60E-04	14.1999998	9
7.60E-04	14	9
7.60E-04	14.1999998	8.800000191
7.60E-04	14.6000004	8.800000191
7.60E-04	14.1999998	8.800000191
7.61E-04	14.1999998	9
7.61E-04	14.4000006	8.800000191
7.61E-04	14.4000006	8.800000191
7.61E-04	14.1999998	9
7.61E-04	14.1999998	8.800000191
7.62E-04	14	9
7.62E-04	14.4000006	8.800000191
7.62E-04	14.1999998	8.800000191
7.62E-04	14	9
7.62E-04	14.4000006	9.199999809
7.63E-04	14.4000006	8.800000191
7.63E-04	14.4000006	9.199999809
7.63E-04	14	9.199999809
7.63E-04	14	9
7.63E-04	14.1999998	9.199999809
7.64E-04	14.4000006	9
7.64E-04	14.1999998	9.199999809
7.64E-04	14.1999998	9.199999809
7.64E-04	14.1999998	9
7.64E-04	14.4000006	9.199999809
7.65E-04	14	9.199999809
7.65E-04	14.1999998	9.199999809
7.65E-04	14.4000006	9
7.65E-04	14.1999998	9.199999809
7.65E-04	14.1999998	9
7.66E-04	14.1999998	9
7.66E-04	14.4000006	9.199999809
7.66E-04	14.4000006	9
7.66E-04	14	9.199999809
7.66E-04	14	9
7.67E-04	14.1999998	9
7.67E-04	14.4000006	9
7.67E-04	14.1999998	9
7.67E-04	14.1999998	9.199999809
7.67E-04	14.4000006	9.199999809
7.68E-04	14.1999998	9.199999809
7.68E-04	14.1999998	9.199999809
7.68E-04	14	9
7.68E-04	14	9.199999809
7.68E-04	14.4000006	9.199999809
7.69E-04	14.4000006	9.199999809
7.69E-04	14.4000006	9.199999809
7.69E-04	14.4000006	9.400000572
7.69E-04	14.1999998	9.199999809
7.69E-04	14.1999998	9.199999809
7.70E-04	14	9.400000572
7.70E-04	14.1999998	9
7.70E-04	14.1999998	9
7.70E-04	14.1999998	9.199999809
7.70E-04	14.4000006	9.199999809
7.71E-04	14.1999998	9.199999809
7.71E-04	14.4000006	9.400000572
7.71E-04	14.4000006	9.199999809
7.71E-04	14	9.199999809
7.71E-04	14.1999998	9.400000572
7.72E-04	14.4000006	9.199999809
7.72E-04	14.4000006	9.199999809
7.72E-04	14.1999998	9.400000572
7.72E-04	14.1999998	9.199999809
7.72E-04	14.4000006	9.199999809
7.73E-04	14.4000006	9.400000572
7.73E-04	14.1999998	9.199999809
7.73E-04	14	9.199999809
7.73E-04	14.4000006	9.400000572
7.73E-04	14.6000004	9.400000572
7.74E-04	14.4000006	9.199999809
7.74E-04	14.4000006	9.400000572
7.74E-04	14.1999998	9.400000572
7.74E-04	14.1999998	9.400000572
7.74E-04	14.4000006	9.199999809
7.75E-04	13.8000002	9.600000381
7.75E-04	14.4000006	9
7.75E-04	14	9.400000572
7.75E-04	14.4000006	9.199999809
7.75E-04	14.4000006	9.600000381
7.76E-04	14.4000006	9.400000572
7.76E-04	14.4000006	9.400000572
7.76E-04	14.1999998	9.400000572
7.76E-04	14.1999998	9.400000572
7.76E-04	14.1999998	9.199999809
7.77E-04	14.1999998	9.400000572
7.77E-04	14.4000006	9.400000572
7.77E-04	14.4000006	9.199999809
7.77E-04	14.4000006	9.199999809
7.77E-04	14.1999998	9.400000572
7.78E-04	14.4000006	9.400000572
7.78E-04	14	9.199999809
7.78E-04	14.4000006	9.400000572
7.78E-04	14.6000004	9.400000572
7.78E-04	14.6000004	9.199999809
7.79E-04	14.1999998	9.400000572
7.79E-04	14.4000006	9.199999809
7.79E-04	14.4000006	9.400000572
7.79E-04	14.4000006	9.600000381
7.79E-04	14.1999998	9.400000572
7.80E-04	14.1999998	9.400000572
7.80E-04	14.1999998	9.199999809
7.80E-04	14.4000006	9.600000381
7.80E-04	14.4000006	9.600000381
7.80E-04	14.1999998	9.600000381
7.81E-04	14.4000006	9.400000572
7.81E-04	14.6000004	9.400000572
7.81E-04	14.1999998	9.400000572
7.81E-04	14	9.400000572
7.81E-04	14.1999998	9.600000381
7.82E-04	14.4000006	9.400000572
7.82E-04	14.4000006	9.199999809
7.82E-04	14	9.600000381
7.82E-04	14.4000006	9.600000381
7.82E-04	14.1999998	9.400000572
7.83E-04	14.1999998	9.600000381
7.83E-04	14	9.400000572
7.83E-04	14.4000006	9.400000572
7.83E-04	14.1999998	9.400000572
7.83E-04	14.1999998	9.400000572
7.84E-04	14.1999998	9.600000381
7.84E-04	14.4000006	9.600000381
7.84E-04	14.1999998	9.400000572
7.84E-04	14.4000006	9.800000191
7.84E-04	14	9.600000381
7.85E-04	14	9.600000381
7.85E-04	14.1999998	9.600000381
7.85E-04	14.4000006	9.600000381
7.85E-04	14.4000006	9.600000381
7.85E-04	14.1999998	9.600000381
7.86E-04	14.1999998	9.600000381
7.86E-04	14.4000006	9.600000381
7.86E-04	14.1999998	9.800000191
7.86E-04	14.1999998	9.600000381
7.86E-04	14.1999998	9.400000572
7.87E-04	14.4000006	9.800000191
7.87E-04	14.4000006	9.800000191
7.87E-04	14.4000006	9.800000191
7.87E-04	14.4000006	9.600000381
7.87E-04	14.4000006	9.800000191
7.88E-04	14.4000006	9.800000191
7.88E-04	14.1999998	9.800000191
7.88E-04	14	9.800000191
7.88E-04	14.1999998	9.800000191
7.88E-04	14.1999998	9.600000381
7.89E-04	14.1999998	9.800000191
7.89E-04	14.1999998	10
7.89E-04	14.4000006	9.600000381
7.89E-04	14.4000006	9.800000191
7.89E-04	14.1999998	9.800000191
7.90E-04	14.1999998	9.800000191
7.90E-04	14.4000006	9.600000381
7.90E-04	14.1999998	9.600000381
7.90E-04	14.1999998	9.800000191
7.90E-04	14.1999998	10
7.91E-04	14.4000006	9.800000191
7.91E-04	14.4000006	9.800000191
7.91E-04	14.1999998	9.800000191
7.91E-04	14.1999998	10
7.91E-04	14.1999998	9.800000191
7.92E-04	14.4000006	9.800000191
7.92E-04	14.1999998	9.800000191
7.92E-04	14.4000006	9.600000381
7.92E-04	14.6000004	9.600000381
7.92E-04	14.4000006	9.600000381
7.93E-04	14.1999998	9.800000191
7.93E-04	14.1999998	9.800000191
7.93E-04	14.1999998	9.800000191
7.93E-04	14.4000006	9.800000191
7.93E-04	14.4000006	9.800000191
7.94E-04	14.1999998	9.800000191
7.94E-04	14.4000006	9.800000191
7.94E-04	14.1999998	9.800000191
7.94E-04	14.4000006	9.800000191
7.94E-04	14.1999998	9.800000191
7.95E-04	14.1999998	9.600000381
7.95E-04	14.1999998	9.800000191
7.95E-04	14.1999998	9.800000191
7.95E-04	14.1999998	10
7.95E-04	14.1999998	9.800000191
7.96E-04	14.4000006	9.800000191
7.96E-04	14.1999998	9.800000191
7.96E-04	13.8000002	9.800000191
7.96E-04	14.1999998	9.800000191
7.96E-04	14.1999998	9.800000191
7.97E-04	14.1999998	9.800000191
7.97E-04	14.1999998	10
7.97E-04	14.1999998	10
7.97E-04	14	9.800000191
7.97E-04	14.4000006	9.800000191
7.98E-04	14.1999998	9.800000191
7.98E-04	14.1999998	9.800000191
7.98E-04	14.4000006	10
7.98E-04	14.4000006	9.800000191
7.98E-04	14.1999998	10
7.99E-04	14.1999998	10
7.99E-04	14.4000006	10
7.99E-04	14.1999998	10
7.99E-04	14.1999998	9.800000191
7.99E-04	14.1999998	9.800000191
8.00E-04	14.1999998	9.800000191
8.00E-04	14.4000006	10
8.00E-04	14.1999998	9.800000191
8.00E-04	14.1999998	10
8.00E-04	14.1999998	10
8.01E-04	14.1999998	9.800000191
8.01E-04	14	10.1999998
8.01E-04	14	10.1999998
8.01E-04	14	10
8.01E-04	14.4000006	10
8.02E-04	14.4000006	10
8.02E-04	14.1999998	10
8.02E-04	4.5999999	10.1999998
8.02E-04	-2.2	7.800000191
8.02E-04	2.00E-01	10.1999998
8.03E-04	2.00E-01	9.800000191
8.03E-04	2.00E-01	10
8.03E-04	0	9.800000191
8.03E-04	2.00E-01	9.600000381
8.03E-04	0	9.800000191
8.04E-04	2.00E-01	9.800000191
8.04E-04	0	9.800000191
8.04E-04	2.00E-01	10
8.04E-04	2.00E-01	9.800000191
8.04E-04	0	9.800000191
8.05E-04	2.00E-01	9.800000191
8.05E-04	2.00E-01	9.800000191
8.05E-04	0	9.600000381
8.05E-04	0	9.600000381
8.05E-04	2.00E-01	9.600000381
8.06E-04	2.00E-01	9.400000572
8.06E-04	0	9.600000381
8.06E-04	-2.00E-01	9.600000381
8.06E-04	0	9.400000572
8.06E-04	0	9.600000381
8.07E-04	2.00E-01	9.600000381
8.07E-04	0	9.800000191
8.07E-04	2.00E-01	9.600000381
8.07E-04	2.00E-01	9.400000572
8.07E-04	2.00E-01	9.400000572
8.08E-04	0	9.400000572
8.08E-04	0	9.199999809
8.08E-04	0	9.400000572
8.08E-04	2.00E-01	9.400000572
8.08E-04	0	9.400000572
8.09E-04	0	9.400000572
8.09E-04	0	9.400000572
8.09E-04	2.00E-01	9.400000572
8.09E-04	0	9.400000572
8.09E-04	2.00E-01	9.199999809
8.10E-04	0	9.400000572
8.10E-04	0	9.199999809
8.10E-04	0	9.199999809
8.10E-04	2.00E-01	9.400000572
8.10E-04	0	9
8.11E-04	2.00E-01	9.199999809
8.11E-04	0	9.199999809
8.11E-04	2.00E-01	9.199999809
8.11E-04	-2.00E-01	9
8.11E-04	0	9
8.12E-04	0	9.199999809
8.12E-04	0	9.199999809
8.12E-04	0	9
8.12E-04	0	9.199999809
8.12E-04	0	9
8.13E-04	0	9
8.13E-04	0	9
8.13E-04	0	9
8.13E-04	0	8.800000191
8.13E-04	0	8.600000381
8.14E-04	0	9
8.14E-04	0	9
8.14E-04	0	8.800000191
8.14E-04	2.00E-01	8.800000191
8.14E-04	0	8.600000381
8.15E-04	2.00E-01	8.800000191
8.15E-04	2.00E-01	8.800000191
8.15E-04	0	8.800000191
8.15E-04	2.00E-01	8.800000191
8.15E-04	0	9
8.16E-04	0	8.600000381
8.16E-04	-2.00E-01	8.800000191
8.16E-04	0	8.800000191
8.16E-04	0	8.600000381
8.16E-04	0	8.600000381
8.17E-04	0	8.600000381
8.17E-04	0	8.800000191
8.17E-04	0	8.600000381
8.17E-04	2.00E-01	8.600000381
8.17E-04	0	8.400000572
8.18E-04	0	8.600000381
8.18E-04	0	8.600000381
8.18E-04	0	8.600000381
8.18E-04	0	8.400000572
8.18E-04	0	8.600000381
8.19E-04	2.00E-01	8.400000572
8.19E-04	0	8.400000572
8.19E-04	0	8.400000572
8.19E-04	2.00E-01	8.400000572
8.19E-04	0	8.600000381
8.20E-04	2.00E-01	8.400000572
8.20E-04	0	8.199999809
8.20E-04	2.00E-01	8.199999809
8.20E-04	2.00E-01	8.199999809
8.20E-04	2.00E-01	8.400000572
8.21E-04	0	8.400000572
8.21E-04	0	8.199999809
8.21E-04	0	8.199999809
8.21E-04	0	8
8.21E-04	0	8.199999809
8.22E-04	-2.00E-01	8.400000572
8.22E-04	2.00E-01	8.400000572
8.22E-04	2.00E-01	8.199999809
8.22E-04	0	8.400000572
8.22E-04	0	8.199999809
8.23E-04	0	8.199999809
8.23E-04	0	8
8.23E-04	2.00E-01	8.199999809
8.23E-04	0	8.199999809
8.23E-04	2.00E-01	8.199999809
8.24E-04	0	8
8.24E-04	-2.00E-01	8
8.24E-04	2.00E-01	7.800000191
8.24E-04	0	8
8.24E-04	2.00E-01	8
8.25E-04	0	7.800000191
8.25E-04	0	8
8.25E-04	0	8
8.25E-04	0	8
8.25E-04	0	7.800000191
8.26E-04	0	7.800000191
8.26E-04	-2.00E-01	7.800000191
8.26E-04	0	7.800000191
8.26E-04	0	7.800000191
8.26E-04	0	7.800000191
8.27E-04	2.00E-01	8
8.27E-04	2.00E-01	7.800000191
8.27E-04	2.00E-01	7.599999905
8.27E-04	2.00E-01	8
8.27E-04	0	7.599999905
8.28E-04	2.00E-01	7.800000191
8.28E-04	2.00E-01	7.800000191
8.28E-04	2.00E-01	7.599999905
8.28E-04	-2.00E-01	7.599999905
8.28E-04	2.00E-01	7.800000191
8.29E-04	0	7.599999905
8.29E-04	2.00E-01	7.800000191
8.29E-04	0	7.400000095
8.29E-04	0	7.800000191
8.29E-04	0	7.599999905
8.30E-04	0	7.599999905
8.30E-04	0	7.599999905
8.30E-04	0	7.599999905
8.30E-04	0	7.599999905
8.30E-04	2.00E-01	7.800000191
8.31E-04	-2.00E-01	7.400000095
8.31E-04	0	7.400000095
8.31E-04	-2.00E-01	7.599999905
8.31E-04	0	7.400000095
8.31E-04	0	7.400000095
8.32E-04	2.00E-01	7.400000095
8.32E-04	2.00E-01	7.400000095
8.32E-04	0	7.400000095
8.32E-04	2.00E-01	7.400000095
8.32E-04	0	7.400000095
8.33E-04	0	7.400000095
8.33E-04	0	7.400000095
8.33E-04	0	7.400000095
8.33E-04	0	7.20000029
8.33E-04	0	7.400000095
8.34E-04	0	7.20000029
8.34E-04	0	7.20000029
8.34E-04	-2.00E-01	7.400000095
8.34E-04	0	7.400000095
8.34E-04	-2.00E-01	7
8.35E-04	0	7.20000029
8.35E-04	0	7.20000029
8.35E-04	0	7.20000029
8.35E-04	0	7.20000029
8.35E-04	0	7.20000029
8.36E-04	-2.00E-01	7.20000029
8.36E-04	-2.00E-01	7
8.36E-04	0	7
8.36E-04	0	7.20000029
8.36E-04	0	7
8.37E-04	0	7.20000029
8.37E-04	0	7
8.37E-04	0	6.80000019
8.37E-04	2.00E-01	7.20000029
8.37E-04	0	7.400000095
8.38E-04	0	7
8.38E-04	0	7
8.38E-04	0	7
8.38E-04	0	7
8.38E-04	0	7
8.39E-04	0	7
8.39E-04	2.00E-01	7
8.39E-04	2.00E-01	6.80000019
8.39E-04	0	7
8.39E-04	2.00E-01	7
8.40E-04	2.00E-01	6.80000019
8.40E-04	0	6.80000019
8.40E-04	2.00E-01	6.80000019
8.40E-04	0	6.80000019
8.40E-04	2.00E-01	7
8.41E-04	2.00E-01	7
8.41E-04	0	7
8.41E-04	-2.00E-01	6.5999999
8.41E-04	0	6.80000019
8.41E-04	-2.00E-01	6.5999999
8.42E-04	0	7
8.42E-04	0	6.5999999
8.42E-04	0	6.80000019
8.42E-04	0	6.80000019
8.42E-04	-2.00E-01	6.5999999
8.43E-04	0	6.80000019
8.43E-04	0	6.5999999
8.43E-04	0	6.5999999
8.43E-04	2.00E-01	6.80000019
8.43E-04	0	6.4000001
8.44E-04	0	6.5999999
8.44E-04	2.00E-01	6.5999999
8.44E-04	2.00E-01	6.4000001
8.44E-04	0	6.20000029
8.44E-04	2.00E-01	6.5999999
8.45E-04	0	6.5999999
8.45E-04	-2.00E-01	6.5999999
8.45E-04	2.00E-01	6.5999999
8.45E-04	0	6.4000001
8.45E-04	0	6.5999999
8.46E-04	2.00E-01	6.4000001
8.46E-04	2.00E-01	6.5999999
8.46E-04	2.00E-01	6.4000001
8.46E-04	0	6.5999999
8.46E-04	2.00E-01	6.5999999
8.47E-04	0	6.4000001
8.47E-04	0	6.4000001
8.47E-04	2.00E-01	6.4000001
8.47E-04	0	6.20000029
8.47E-04	0	6.4000001
8.48E-04	0	6.4000001
8.48E-04	0	6.4000001
8.48E-04	-2.00E-01	6.4000001
8.48E-04	0	6.20000029
8.48E-04	0	6.20000029
8.49E-04	2.00E-01	6.4000001
8.49E-04	0	6.20000029
8.49E-04	0	6.4000001
8.49E-04	0	6.20000029
8.49E-04	0	6.4000001
8.50E-04	0	6.20000029
8.50E-04	0	6.20000029
8.50E-04	0	6.20000029
8.50E-04	2.00E-01	6.20000029
8.50E-04	0	6.20000029
8.51E-04	2.00E-01	6.20000029
8.51E-04	2.00E-01	6.20000029
8.51E-04	0	6.20000029
8.51E-04	0	6.20000029
8.51E-04	2.00E-01	6.20000029
8.52E-04	0	6
8.52E-04	0	6.20000029
8.52E-04	0	6.20000029
8.52E-04	2.00E-01	6
8.52E-04	-2.00E-01	6
8.53E-04	0	6
8.53E-04	0	6
8.53E-04	-2.00E-01	6
8.53E-04	2.00E-01	6
8.53E-04	2.00E-01	6
8.54E-04	0	6
8.54E-04	0	6
8.54E-04	0	5.80000019
8.54E-04	4.00E-01	5.80000019
8.54E-04	2.00E-01	5.80000019
8.55E-04	0	6
8.55E-04	2.00E-01	6
8.55E-04	0	5.80000019
8.55E-04	0	6
8.55E-04	2.00E-01	6
8.56E-04	2.00E-01	6
8.56E-04	2.00E-01	5.80000019
8.56E-04	0	5.80000019
8.56E-04	0	5.80000019
8.56E-04	2.00E-01	6
8.57E-04	2.00E-01	6
8.57E-04	0	5.80000019
8.57E-04	2.00E-01	5.80000019
8.57E-04	2.00E-01	5.80000019
8.57E-04	2.00E-01	5.5999999
8.58E-04	0	5.5999999
8.58E-04	2.00E-01	5.80000019
8.58E-04	0	5.80000019
8.58E-04	2.00E-01	5.80000019
8.58E-04	2.00E-01	5.80000019
8.59E-04	2.00E-01	5.80000019
8.59E-04	2.00E-01	5.80000019
8.59E-04	0	5.80000019
8.59E-04	2.00E-01	5.80000019
8.59E-04	2.00E-01	5.5999999
8.60E-04	0	5.80000019
8.60E-04	0	5.80000019
8.60E-04	0	5.5999999
8.60E-04	0	5.5999999
8.60E-04	2.00E-01	5.5999999
8.61E-04	0	5.5999999
8.61E-04	2.00E-01	5.5999999
8.61E-04	4.00E-01	5.4000001
8.61E-04	0	5.80000019
8.61E-04	2.00E-01	5.80000019
8.62E-04	2.00E-01	5.4000001
8.62E-04	0	5.80000019
8.62E-04	2.00E-01	5.4000001
8.62E-04	2.00E-01	5.5999999
8.62E-04	2.00E-01	5.5999999
8.63E-04	0	5.5999999
8.63E-04	0	5.5999999
8.63E-04	0	5.5999999
8.63E-04	0	5.4000001
8.63E-04	2.00E-01	5.5999999
8.64E-04	0	5.4000001
8.64E-04	0	5.4000001
8.64E-04	0	5.4000001
8.64E-04	2.00E-01	5.4000001
8.64E-04	0	5.4000001
8.65E-04	2.00E-01	5.5999999
8.65E-04	2.00E-01	5.4000001
8.65E-04	2.00E-01	5.20000029
8.65E-04	0	5.5999999
8.65E-04	2.00E-01	5.4000001
8.66E-04	2.00E-01	5.4000001
8.66E-04	2.00E-01	5.4000001
8.66E-04	2.00E-01	5.4000001
8.66E-04	2.00E-01	5.5999999
8.66E-04	2.00E-01	5.4000001
8.67E-04	2.00E-01	5.4000001
8.67E-04	2.00E-01	5.20000029
8.67E-04	0	5.20000029
8.67E-04	2.00E-01	5.20000029
8.67E-04	2.00E-01	5.20000029
8.68E-04	0	5.20000029
8.68E-04	-2.00E-01	5
8.68E-04	2.00E-01	5.20000029
8.68E-04	2.00E-01	5.20000029
8.68E-04	2.00E-01	5.20000029
8.69E-04	2.00E-01	5.20000029
