WL; Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL[dB]; Det3_IL
1472.210;-4.71;-67.39;-67.18;-66.74;-40.68
1472.220;-4.85;-67.24;-67.03;-66.59;-40.64
1472.230;-5.14;-66.95;-66.74;-66.30;-40.60
1472.240;-5.23;-66.86;-66.65;-66.21;-40.59
1472.250;-5.36;-66.73;-66.52;-66.08;-40.59
1472.260;-5.42;-66.67;-66.46;-66.02;-40.60
1472.270;-5.44;-66.65;-66.44;-66.00;-40.74
1472.280;-5.53;-66.56;-66.35;-65.91;-40.63
1472.290;-5.97;-66.12;-65.91;-65.47;-40.60
1472.300;-6.35;-65.75;-65.54;-65.10;-40.57
1472.310;-6.82;-65.27;-65.06;-64.62;-40.67
1472.320;-6.93;-65.16;-64.95;-64.51;-40.57
1472.330;-6.84;-65.25;-65.04;-64.60;-40.54
1472.340;-6.82;-65.27;-65.06;-64.62;-40.56
1472.350;-6.71;-65.38;-65.17;-64.73;-40.57
1472.360;-6.59;-65.50;-65.29;-64.85;-40.58
1472.370;-6.46;-65.63;-65.42;-64.98;-40.55
1472.380;-6.36;-65.73;-65.52;-65.08;-40.40
1472.390;-6.32;-65.77;-65.56;-65.12;-40.47
1472.400;-6.28;-65.82;-65.60;-65.17;-40.33
1472.410;-6.21;-65.88;-65.67;-65.23;-40.42
1472.420;-6.17;-65.92;-65.71;-65.27;-40.32
1472.430;-6.02;-66.07;-65.86;-65.42;-40.40
1472.440;-5.88;-66.21;-66.00;-65.56;-40.48
1472.450;-5.78;-66.31;-66.10;-65.66;-40.34
1472.460;-5.67;-66.42;-66.21;-65.77;-40.27
1472.470;-5.53;-66.56;-66.35;-65.91;-40.23
1472.480;-5.42;-66.67;-66.46;-66.02;-40.32
1472.490;-5.29;-66.80;-66.59;-66.15;-40.31
1472.500;-5.25;-66.84;-66.63;-66.20;-40.30
1472.510;-5.08;-67.01;-66.80;-66.37;-40.34
1472.520;-4.95;-67.14;-66.93;-66.49;-40.35
1472.530;-4.85;-67.24;-67.03;-66.59;-40.32
1472.540;-4.62;-67.48;-67.26;-66.83;-40.33
1472.550;-4.49;-67.60;-67.39;-66.95;-40.43
1472.560;-4.38;-67.72;-67.50;-67.07;-40.33
1472.570;-4.25;-67.85;-67.63;-67.20;-40.39
1472.580;-4.13;-67.96;-67.75;-67.32;-40.26
1472.590;-4.05;-68.04;-67.83;-67.39;-40.29
1472.600;-3.97;-68.12;-67.91;-67.47;-40.25
1472.610;-3.94;-68.15;-67.94;-67.51;-40.28
1472.620;-3.85;-68.24;-68.03;-67.59;-40.27
1472.630;-3.79;-68.30;-68.09;-67.65;-40.24
1472.640;-3.75;-68.35;-68.13;-67.70;-40.25
1472.650;-3.70;-68.39;-68.18;-67.74;-40.18
1472.660;-3.67;-68.42;-68.21;-67.77;-40.20
1472.670;-3.63;-68.46;-68.25;-67.82;-40.15
1472.680;-3.65;-68.44;-68.23;-67.79;-40.13
1472.690;-3.98;-68.11;-67.90;-67.46;-40.18
1472.700;-4.31;-67.79;-67.57;-67.14;-40.29
1472.710;-4.49;-67.60;-67.39;-66.96;-40.28
1472.720;-4.55;-67.54;-67.33;-66.90;-40.21
1472.730;-4.58;-67.52;-67.30;-66.87;-40.25
1472.740;-4.57;-67.52;-67.31;-66.88;-40.25
1472.750;-4.60;-67.49;-67.28;-66.85;-40.14
1472.760;-4.63;-67.47;-67.25;-66.82;-40.32
1472.770;-4.63;-67.46;-67.25;-66.82;-40.29
1472.780;-4.59;-67.51;-67.29;-66.86;-40.25
1472.790;-4.66;-67.43;-67.22;-66.79;-40.29
1472.800;-4.68;-67.41;-67.20;-66.76;-40.34
1472.810;-4.72;-67.37;-67.16;-66.73;-40.34
1472.820;-4.71;-67.38;-67.17;-66.74;-40.35
1472.830;-4.67;-67.42;-67.21;-66.78;-40.34
1472.840;-4.66;-67.43;-67.22;-66.79;-40.32
1472.850;-4.65;-67.44;-67.23;-66.80;-40.27
1472.860;-4.65;-67.44;-67.23;-66.80;-40.22
1472.870;-4.66;-67.43;-67.22;-66.79;-40.26
1472.880;-4.69;-67.40;-67.19;-66.76;-40.28
1472.890;-4.65;-67.44;-67.23;-66.80;-40.25
1472.900;-4.70;-67.40;-67.18;-66.75;-40.22
1472.910;-4.72;-67.37;-67.16;-66.73;-40.24
1472.920;-4.67;-67.42;-67.21;-66.78;-40.22
1472.930;-4.65;-67.44;-67.23;-66.80;-40.21
1472.940;-4.65;-67.45;-67.23;-66.80;-40.16
1472.950;-4.66;-67.44;-67.22;-66.80;-40.19
1472.960;-4.65;-67.44;-67.23;-66.80;-40.10
1472.970;-4.66;-67.43;-67.22;-66.79;-40.25
1472.980;-4.64;-67.45;-67.24;-66.81;-40.22
1472.990;-4.61;-67.49;-67.27;-66.85;-40.11
1473.000;-4.64;-67.45;-67.24;-66.81;-40.16
1473.010;-4.67;-67.42;-67.21;-66.78;-40.12
1473.020;-4.66;-67.43;-67.22;-66.79;-40.08
1473.030;-4.69;-67.41;-67.19;-66.77;-40.03
1473.040;-4.66;-67.44;-67.22;-66.80;-39.97
1473.050;-4.60;-67.49;-67.28;-66.85;-40.07
1473.060;-4.64;-67.46;-67.24;-66.82;-40.01
1473.070;-4.59;-67.50;-67.29;-66.86;-40.02
1473.080;-4.59;-67.51;-67.29;-66.87;-40.05
1473.090;-4.57;-67.52;-67.30;-66.88;-39.96
1473.100;-4.55;-67.55;-67.33;-66.91;-39.93
1473.110;-4.58;-67.51;-67.30;-66.87;-39.85
1473.120;-4.58;-67.51;-67.30;-66.87;-39.91
