OWNER;POINTNAME;FLD_DEV;3_KKS;DESC;ACTIVE;INACTIVE;SIG_TYPE;SIG_LEVEL;PWR_SRC;LOCATION;IO_GROUP;DEV_PARTITION;DEVICE_LO;DEVICE_HI;DEVICE_UNITS;DISPLAY_LO;DISPLAY_HI;DISPLAY_UNITS;PRECISION;SOE;HIST;PID;LOGIC;HMI_SCREEN;MOD;REV;REV_COMMENT;REV_DATE;REMARKS;Typo;DESCRIPCIÓN;DESCRIPCIÓN ALTERNATIVA;
       ACC;B0LBG20AA302XB02;B0LBG20AA302;XB02;AuxStm to Deaer Pot B0LBG20 Drn MOV FullyCl                                       ;;;DI;DC_24V;         S;;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Pot B0LBG20 Drn MOV;B0LBG10EA001;
       ACC;B0LBG20AA302XB07;B0LBG20AA302;XB07;AuxStm to Deaer Pot B0LBG20 Drn MOV Actuator                                      Fault;;;DI;DC_24V;         S;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Pot B0LBG20 Drn MOV;B0LBG10EA001;
       ACC;B0LBG20AA302XB23;B0LBG20AA302;XB23;AuxStm to Deaer Pot B0LBG20 Drn MOV Actuator                                      Local Mode;;;DI;DC_24V;         S;          ;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Pot B0LBG20 Drn MOV;B0LBG10EA001;
       ACC;B0LBG20AA302XQ13;B0LBG20AA302;XQ13;AuxStm to Deaer Pot B0LBG20 Drn MOV Valve                                         Position;;;AI;4_20mA;         S;;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Pot B0LBG20 Drn MOV;B0LBG10EA001;
       ACC;B0LBG20AA302YQ01;B0LBG20AA302;YQ01;AuxStm to Deaer Pot B0LBG20 Drn MOV Position                                      Demand;;;AO;4_20mA;         S;          ;;;;;;;;;;;       Yes;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Pot B0LBG20 Drn MOV;B0LBG10EA001;
       ACC;B0LBG20AA302ZB17;B0LBG20AA302;ZB17;AuxStm to Deaer Pot B0LBG20 Drn MOV Protection                                    Close;Prot Close Pulse Man;;_empty_;DC_24V;          ;          ;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Pot B0LBG20 Drn MOV;B0LBG10EA001;
       ACC;B0LBG20AA302ZB19;B0LBG20AA302;ZB19;AuxStm to Deaer Pot B0LBG20 Drn MOV Protection                                    Open;Prot Open Pulse Man;;_empty_;DC_24V;          ;          ;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Pot B0LBG20 Drn MOV;B0LBG10EA001;
       ACC;B0LBG20AA302ZB50;B0LBG20AA302;ZB50;AuxStm to Deaer Pot B0LBG20 Drn MOV Drive                                         Ready;Drive Ready;;_empty_;DC_24V;          ;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Pot B0LBG20 Drn MOV;B0LBG10EA001;
       ACC;B0LBG20AA302ZB51;B0LBG20AA302;ZB51;AuxStm to Deaer Pot B0LBG20 Drn MOV Drive Ready                                    & Auto;Drive Ready & Auto;;_empty_;DC_24V;          ;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to Deaer Pot B0LBG20 Drn MOV;B0LBG10EA001;
       ACC;B0LBG20AA401XQ13;B0LBG20AA401;XQ13;AuxStm to Deaer CV Position                                      Ind;;;AI;4_20mA;         S;          ;;;;;;;;;;;       Yes;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;AuxStm to Deaer CV;B0LBG10EA001;
       ACC;B0LBG20AA401YQ01;B0LBG20AA401;YQ01;AuxStm to Deaer CV Position                                      Demand;;;AO;4_20mA;         S;          ;;;;;;;;;;;       Yes;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;AuxStm to Deaer CV;B0LBG10EA001;
       ACC;B0LBG20CT001XQ01;B0LBG20CT001;XQ01;AuxStm to Deaer Pot B0LBG20 Temp xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;AuxStm to Deaer Pot B0LBG20 Temp;B0LBG10EA001;
       ACC;B0LBG30AA301XB01;B0LBG30AA301;XB01;AuxStm to AirPrehtr Pot Drn MOV FullyOp                                       ;;;DI;DC_24V;         S;;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to AirPrehtr Pot Drn MOV;B0LBG10EA001;
       ACC;B0LBG30AA301XB02;B0LBG30AA301;XB02;AuxStm to AirPrehtr Pot Drn MOV FullyCl                                       ;;;DI;DC_24V;         S;;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to AirPrehtr Pot Drn MOV;B0LBG10EA001;
       ACC;B0LBG30AA301XB07;B0LBG30AA301;XB07;AuxStm to AirPrehtr Pot Drn MOV Actuator                                      Fault;;;DI;DC_24V;         S;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to AirPrehtr Pot Drn MOV;B0LBG10EA001;
       ACC;B0LBG30AA301XB23;B0LBG30AA301;XB23;AuxStm to AirPrehtr Pot Drn MOV Actuator                                      Local Mode;;;DI;DC_24V;         S;          ;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to AirPrehtr Pot Drn MOV;B0LBG10EA001;
       ACC;B0LBG30AA301XQ13;B0LBG30AA301;XQ13;AuxStm to AirPrehtr Pot Drn MOV Valve                                         Position;;;AI;4_20mA;         S;;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to AirPrehtr Pot Drn MOV;B0LBG10EA001;
       ACC;B0LBG30AA301YQ01;B0LBG30AA301;YQ01;AuxStm to AirPrehtr Pot Drn MOV Position                                      Demand;;;AO;4_20mA;         S;          ;;;;;;;;;;;       Yes;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to AirPrehtr Pot Drn MOV;B0LBG10EA001;
       ACC;B0LBG30AA301ZB17;B0LBG30AA301;ZB17;AuxStm to AirPrehtr Pot Drn MOV Protection                                    Close;Prot Close Pulse Man;;_empty_;DC_24V;          ;          ;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to AirPrehtr Pot Drn MOV;B0LBG10EA001;
       ACC;B0LBG30AA301ZB19;B0LBG30AA301;ZB19;AuxStm to AirPrehtr Pot Drn MOV Protection                                    Open;Prot Open Pulse Man;;_empty_;DC_24V;          ;          ;;;;;;;;;;;        Sí;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to AirPrehtr Pot Drn MOV;B0LBG10EA001;
       ACC;B0LBG30AA301ZB50;B0LBG30AA301;ZB50;AuxStm to AirPrehtr Pot Drn MOV Drive                                         Ready;Drive Ready;;_empty_;DC_24V;          ;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to AirPrehtr Pot Drn MOV;B0LBG10EA001;
       ACC;B0LBG30AA301ZB51;B0LBG30AA301;ZB51;AuxStm to AirPrehtr Pot Drn MOV Drive Ready                                    & Auto;Drive Ready & Auto;;_empty_;DC_24V;          ;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;;;1;;;;;AuxStm to AirPrehtr Pot Drn MOV;B0LBG10EA001;
       ACC;B0LBG30CP001AXQ01;B0LBG30CP001;XQ01;AuxStm to AirPreHtrs Press 1 xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;AuxStm to AirPreHtrs Press 1;B0LBG10EA001;
       ACC;B0LBG30CP001BXQ01;B0LBG30CP002;XQ01;AuxStm to AirPreHtrs Press 2 xtmr                                          ;xmtr;;AI;4_20mA;;;;;;;;;;;;;;NPE7-EAI-41XX-XXX-PD-XA-000002;NPE7-EAI-41XX-XXX-PP-XA-007604;NPE7-EAI-41XX-XXX-IM-XA-007653;;1;;;;;AuxStm to AirPreHtrs Press 2;B0LBG10EA001;
